iter	MultiClass
0	2.268100166
1	2.24019146
2	2.207437897
3	2.175548553
4	2.144481277
5	2.118779373
6	2.089135933
7	2.060229111
8	2.034191704
9	2.011861229
10	1.984797096
11	1.960427284
12	1.936506271
13	1.911294937
14	1.888413429
15	1.864345932
16	1.840839005
17	1.821819115
18	1.799215317
19	1.779927444
20	1.760943413
21	1.741070175
22	1.7201828
23	1.702382469
24	1.686134911
25	1.666408539
26	1.64838829
27	1.629351616
28	1.610716629
29	1.592565918
30	1.576928806
31	1.559435272
32	1.543294716
33	1.527514744
34	1.510981178
35	1.496532631
36	1.480595589
37	1.467259789
38	1.452710152
39	1.437480164
40	1.422581863
41	1.409980011
42	1.397085857
43	1.384383011
44	1.370364761
45	1.35668602
46	1.343207169
47	1.331210899
48	1.319394493
49	1.308395958
50	1.296933079
51	1.285686302
52	1.273967552
53	1.262989044
54	1.251668644
55	1.239890289
56	1.229417801
57	1.22002697
58	1.209768486
59	1.199589348
60	1.19060688
61	1.179703331
62	1.168979168
63	1.159398079
64	1.149005127
65	1.138865471
66	1.129949188
67	1.11986208
68	1.110865784
69	1.10119009
70	1.092416
71	1.082933903
72	1.074403763
73	1.06598444
74	1.057633305
75	1.049614239
76	1.041810894
77	1.033444309
78	1.02518177
79	1.017666245
80	1.009574127
81	1.001896667
82	0.9937806129
83	0.9865255356
84	0.9795562744
85	0.9716143608
86	0.9642216682
87	0.957981205
88	0.9510751724
89	0.9443090439
90	0.9380256653
91	0.9313526154
92	0.9245269775
93	0.9180896759
94	0.9115320206
95	0.904873085
96	0.8979312897
97	0.8914716721
98	0.884985733
99	0.8787687302
100	0.872822094
101	0.8666833878
102	0.8601015091
103	0.8540655136
104	0.8477155685
105	0.8424480438
106	0.8365461349
107	0.8308927536
108	0.8252632141
109	0.8198710442
110	0.8141750336
111	0.8087052345
112	0.8032183647
113	0.7974481583
114	0.7919895172
115	0.7864942551
116	0.7807407856
117	0.7747437477
118	0.7686198235
119	0.7635735035
120	0.7586164474
121	0.7535182953
122	0.748456955
123	0.7432812691
124	0.738958168
125	0.7338249683
126	0.7287947655
127	0.7240989208
128	0.7194420815
129	0.7146885872
130	0.7101131439
131	0.7054369926
132	0.7009854317
133	0.6964929581
134	0.6922719955
135	0.6880325317
136	0.6834401131
137	0.6791346073
138	0.6747986794
139	0.6707824707
140	0.6664600849
141	0.6626081467
142	0.658796978
143	0.6544138432
144	0.6500549793
145	0.6461373329
146	0.6419025898
147	0.6376211643
148	0.6337418079
149	0.6295877934
150	0.6252965927
151	0.6209527969
152	0.6171214104
153	0.612593174
154	0.6089468956
155	0.6053099632
156	0.6014425755
157	0.5978672028
158	0.5947285175
159	0.5906499863
160	0.5866271496
161	0.5829295158
162	0.579299736
163	0.5753824234
164	0.5717814445
165	0.568507576
166	0.5650374413
167	0.5617966652
168	0.5586355209
169	0.5547861099
170	0.5515703201
171	0.5481947422
172	0.5449322701
173	0.5419995308
174	0.5385829449
175	0.5356433868
176	0.532515192
177	0.5293821335
178	0.5263967514
179	0.5232943058
180	0.5203827381
181	0.5175839901
182	0.51456213
183	0.5119202137
184	0.509199667
185	0.5063485146
186	0.5036218166
187	0.5007297516
188	0.4982501507
189	0.4954466343
190	0.492404747
191	0.4897350311
192	0.4871721268
193	0.4846071243
194	0.4818470955
195	0.4789785385
196	0.4761324883
197	0.4735167503
198	0.4709884644
199	0.4681357384
200	0.4652609825
201	0.4627015591
202	0.4601689339
203	0.4573389053
204	0.4547999382
205	0.4524341583
206	0.4499741077
207	0.4474128723
208	0.4445867538
209	0.4423932552
210	0.4400997639
211	0.4377587318
212	0.4353517532
213	0.4329507828
214	0.4308272362
215	0.4286657333
216	0.4265903473
217	0.4244312286
218	0.4221996307
219	0.419920826
220	0.4174362183
221	0.415147543
222	0.4128811836
223	0.4108292103
224	0.4087476254
225	0.4064919472
226	0.404434824
227	0.402586174
228	0.4004825592
229	0.3985405207
230	0.3965229034
231	0.3944147587
232	0.3924901962
233	0.390516305
234	0.3885371923
235	0.3865206242
236	0.3845247746
237	0.3825309277
238	0.380559206
239	0.3786035061
240	0.3766758919
241	0.3748775244
242	0.3729572296
243	0.3711231709
244	0.3691188335
245	0.3672972679
246	0.3655051231
247	0.3636958361
248	0.3618588209
249	0.360025692
250	0.3582670212
251	0.3564386845
252	0.3548433304
253	0.3530207634
254	0.3512338161
255	0.3496649027
256	0.3479017019
257	0.346045804
258	0.3443300724
259	0.3426629305
260	0.3410383463
261	0.3393055677
262	0.3375677586
