iter	Passed	Remaining
0	211	105350
1	304	75877
2	433	71867
3	572	71021
4	680	67342
5	789	65041
6	910	64122
7	1010	62127
8	1163	63468
9	1408	69010
10	1548	68830
11	1732	70441
12	1876	70295
13	2006	69658
14	2114	68357
15	2257	68283
16	2375	67486
17	2476	66313
18	2782	70445
19	2928	70286
20	3028	69067
21	3187	69249
22	3312	68695
23	3466	68744
24	3593	68285
25	3724	67896
26	3841	67297
27	3936	66365
28	4059	65934
29	4195	65732
30	4297	65009
31	4463	65276
32	4574	64740
33	4686	64231
34	4812	63943
35	4959	63917
36	5085	63631
37	5201	63245
38	5339	63121
39	5465	62849
40	5586	62536
41	5707	62235
42	5837	62043
43	5950	61671
44	6076	61435
45	6243	61620
46	6358	61285
47	6491	61132
48	6744	62073
49	6952	62571
50	7123	62710
51	7274	62671
52	7487	63149
53	7606	62823
54	7737	62603
55	7918	62783
56	8116	63082
57	8244	62828
58	8378	62625
59	8593	63019
60	8755	63008
61	8882	62751
62	9036	62684
63	9172	62488
64	9302	62252
65	9429	62003
66	9637	62285
67	9759	62002
68	9870	61651
69	10044	61704
70	10159	61388
71	10284	61138
72	10423	60970
73	10584	60932
74	10613	60143
75	10724	59829
76	10853	59625
77	10984	59427
78	11052	58901
79	11156	58570
80	11280	58352
81	11416	58198
82	11513	57843
83	11610	57500
84	11737	57308
85	11843	57015
86	11937	56670
87	11965	56019
88	12100	55880
89	12158	55389
90	12275	55172
91	12388	54938
92	12532	54848
93	12659	54677
94	12756	54384
95	12882	54214
96	13005	54033
97	13110	53780
98	13225	53570
99	13361	53444
100	13496	53316
101	13606	53092
102	13738	52955
103	13868	52807
104	13913	52339
105	14043	52199
106	14171	52048
107	14282	51841
108	14429	51762
109	14544	51566
110	14656	51363
111	14767	51158
112	14883	50973
113	14990	50755
114	15017	50277
115	15119	50051
116	15243	49900
117	15360	49725
118	15410	49339
119	15558	49268
120	15711	49213
121	15851	49115
122	16044	49176
123	16195	49107
124	16340	49021
125	16498	48971
126	16640	48872
127	16759	48705
128	16905	48620
129	17039	48496
130	17228	48529
131	17388	48477
132	17569	48480
133	17718	48396
134	17863	48296
135	18017	48224
136	18210	48252
137	18359	48159
138	18471	47973
139	18635	47919
140	18760	47766
141	18879	47596
142	18992	47416
143	19131	47297
144	19256	47146
145	19390	47016
146	19525	46888
147	19646	46725
148	19767	46566
149	19883	46394
150	19996	46216
151	20112	46046
152	20265	45960
153	20370	45768
154	20467	45557
155	20591	45407
156	20714	45254
157	20834	45098
158	20983	45001
159	21153	44950
160	21279	44805
161	21404	44659
162	21521	44496
163	21626	44307
164	21746	44152
165	21876	44016
166	21975	43818
167	22103	43680
168	22224	43527
169	22283	43255
170	22397	43091
171	22435	42784
172	22578	42676
173	22713	42554
174	22865	42464
175	22996	42334
176	23110	42174
177	23229	42021
178	23401	41965
179	23430	41653
180	23552	41509
181	23680	41375
182	23785	41201
183	23886	41022
184	24010	40881
185	24135	40744
186	24252	40593
187	24408	40507
188	24533	40370
189	24615	40161
190	24733	40014
191	24851	39866
192	24902	39611
193	24994	39424
194	25127	39302
195	25249	39162
196	25355	38998
197	25467	38844
198	25582	38695
199	25687	38531
200	25852	38456
201	26000	38357
